,serial_number,heading,reviews,country,date,verified
17,17,ba worse low cost carrier,british airways total lack respect customers booked fly frankfurt main london city airport couple hours scheduled departure flight suddenly cancelled ba without explanation already airport worst thing utter callousness staff showed towards customers ground staff ’ attitude merely third party agents ba employees therefore quickly washed hands us telling us contact ba directly via phone wanted help ’ even provide us phone number telling us look bacom ba abandoned passengers tell us ba departure heathrow also cancelled meaning would ba flight frankfurt london day although airlines still operating route ba refused rebook us reason given cancellations “ technical reasons ” assistance information provided rights due cancellation information help regarding food accommodation help etc attitude literally cancellation nothing problem received email hour later notifying automatically rebooked alternative flight 24 hours later ’ acceptable get back london night rang ba ’ call centre showed high degree callousness 95 halfhour call spent waiting hold phone cutting half hour meaningful information given point attempt call operator call back line cut solid phone signal wifi still standing terminal 2 frankfurt main airport even though phone number listed booking contact details ’ care end arrange return london taking coach hanh airport 112km away waiting 5 hours booking expensive last minute ticket ryanair stansted least flight operated time got back london ba worse low cost carrier,United Kingdom,2023-09-04,trip verified
18,18,less premium experience,london heathrow keflavik iceland business class a321 british airways provides unusual business class experience intraeurope flights seating similar airlines middle seat vacant little extra space british airways business class cabin extends almost half aircraft makes less premium experience every step boarding onboard wifi worked half flight refunds worked surprisingly fast service flight good got keflavik time,Iceland,2023-09-04,trip verified
19,19,good spectacular,mumbai london heathrow business class ageing b777200 aircraft featured older club world flatbed seats comfortable enough storage space around cubicle monitor screen among larger ones ive seen airplanes bas new club suites said far superior competing best bclass rivals entire business class cabin 2 washrooms wasnt issue flight since premier section wasnt full capacity wifi board fast enough even send videos via messaging apps service onboard competent staff lacked warmth food alright biggest plus flight gets bombay 110 pm afternoon instead ungodly early morning hours international flights take india airport experience far pleasant time summary british airways provides good spectacular business class product,Iceland,2023-09-04,trip verified
20,20,lies misleading unprofessional service,care support shocking written previously loyal ba traveller lies misleading unprofessional service told flight cancelled booked next available flight downgraded cabin business premium economy called ask told technical fault original flight suspicion another reason airport check staff said enough crew staff original flight earlier day take money allow book flight would allowed get work doctor first place trust organisation look flying customer,United Kingdom,2023-09-04,trip verified
21,21,avoid ba like plague,flying a380 business class pleasure ba made disaster worst seating configuration imaginable could sane person could jam many seats limited space expect passengers happy seats narrower economy airlines must face another person plastic screen raised tv screens size medium sized tablet controls behind head sitting position put anything except one small pull draw ground level reached seated accessed sleeping window seats middle seats accessed jump passenger aisle seat seats low hard elderly get whole business class set sick joke eating difficult seat close enough table tables flimsy drinks fall redeeming features answer like little comfort avoid ba like plague,Australia,2023-09-02,trip verified
22,22,british airways absolutely care,british airways absolutely care reserved seat change aisle center seat overnight full flight quite awful enquiring lax check agent said sorry nothing onboard flight attendants seemed try finish meal service racing speed meals trays passed proper questions choice back clearing trays disappeared rest kitchen hours water runs need anything bother call bell simply ignore used like travelling british airways 1015 years ago bean counters lowered close lowcost carrier guess staff badly paid terrible attitude service last trip london delta much better poor excuse airline british air become,United Kingdom,2023-09-01,trip verified
23,23,utter abdication responsibility,recent experience british airways horrendous utter abdication responsibility part arrived jfk ready flight malaga find cancelled zero notice draining 2hour altercation finally placed different flight nightmare continued landed malaga sans luggage containing essentials sons wedding thirty agonizing hours later bags showed up—but brandnew ipad special watch nephew missing items werent merely valuable emotional significance made loss even gutwrenching youd think reputable airline would make amends errors despite clear mishandling baggage team refused offer reimbursement even modest amount airline credit customer service ineffective also astonishingly callous response essence fault trusting us belongings isnt poor customer service complete disregard basic human decency responsibility british airways numerous opportunities right wrongs chose respect time belongings emotional wellbeing avoid british airways costs fail deliver promises also refuse make amends err leaving customers bear brunt incompetence,United States,2023-09-01,trip verified
24,24,express displeasure concerns,express displeasure concerns regarding flight italy trip effectively ruined failure luggage arrive us coupled length time took eventually reach us 9 12 days departure dates june 19 2023 flight ba 294 chicago london june 20 rebooked ba ba 546 london rome flights late arrival rome wife forced walk checkin desk reservation wheelchair assist plane never transferred ba told cabin crew reservation transport also checked baggage 2 failed make ba rebooked flight london rome ba took 9 days deliver bag 12 days deliver wifes called ba baggage claim services daily frequently cut waiting hold hour apple air tags bags sent pictures showing exact location ba baggage claim several times 5 days ba stated found wifes bag needed verify ownership bags described bright pink 4 ” easily visible tags bright pink bows taking 9 12 days deliver inexcusable return date july 3 ba 553 rome london ba 297 london chicago flights late arrived chicago 3 hours late missing ground transportation home michigan 3 hours away find hotel stay overnight near chicago july 12 filed expenses replacement lost clothing toiletries also food purchased heathrow due flight delay overnight hotel charges chicago 2 weeks went online asking followup cases response ba retirees fixed income fund ba ’ errors honestly say times able reach human courteous attempted help appeared loss,United States,2023-08-31,trip verified
25,25,worst europe,flew london malaga 27 august club europe stood around gate b45 terminal 5 hour staff giving different reasons delay late inbound aircraft etc plane boarded sitting hour boarding captain stated changed planes would meals served club europe received one small packet crisps throughout flight effort apologise smelt hot meal pilots heated saw served club europe meal tray cabin crew also warmed pastries quick use air freshener front galley customers received zilch ba sent email following morning say sorry nothing else complete utter rip airline already cutting back many things paid full business class fare receive part onboard meal service expect email sufficient avoid ba option nowadays worst europe,United Kingdom,2023-08-30,trip verified
26,26,customer service horrible,arrived airport 25 hours takeoff time get checked go security etc went without issues relatively early gate one first passengers time boarding opened first business class got called families children disabled people couple minutes boarding started call people one one name announcement ’ let anyone anymore fifty people still standing gate let reason said plane short staffed later discovered speaking manager flight short staffed also overbooked announcement people getting angry ’ let anymore nothing changed everyone sent away connecting flight later day going miss let plane first tried get luggage back ’ receive immediately got hold later thanks airport personnel like everyone going fly plane wanted talk someone british airways since ’ service center frankfurt airport everyone went checkin counters received food vouchers single person either able rebook anyone ’ flight get anyone refunded staff said going receive email couple hours options rebook flight get refund waited four hours email airport come today trying call airline help either answer phone hung middle conversation four hours waiting email people flight went back checkin counter get confirmation receive refund new shift personell know happened scanned passport looked flight found system dying fault could attend flight looked like missed everyone standing exactly people counter said could anything later able speak manager many phone calls said going take care supposed get email point future able get written confirmation get refunded even several times asking already flew lot times life never ever thing happened many people let plane also customer service horrible able rebook confirm refund way end option get destination would book last minute flight lot money would know ever got backed,Germany,2023-08-30,trip verified
27,27,appalling customer service,filthy plane cabin staff ok appalling customer service staff ’ care less dealing complaint paid extra club europebusiness class food poor gave wipes clean seat area split could accommodate families really expect pay extra service cancelling bookings ba even means lose deposit,United Kingdom,2023-08-28,trip verified
28,28,standards worse ever,chaos terminal 5 ba cancellations delays staff give different reasons depending ask 9 10 answers lies sadly ba airport standards t5 worse ever long past able use covid excuse short haul club europe trip expect little ba barely even provide cutbacks covid permanent find alternative carrier route choose rather ba sadly route ba monopoly,United Kingdom,2023-08-27,trip verified
29,29,still waiting reimbursement,ba cancelled flight could book us onto flight next 4 days spend £5k expenses get us back another airline 2 months later still waiting reimbursement response 3 written complaints even call centre staff tell head office taken telephone number email department deal even escalate inquire utterly useless,United Kingdom,2023-08-27,unverified
30,30,unprofessional uncaring,way heathrow airport merely 2 half hours scheduled departure received sms stating flight johannesburg canceled reason given put flight one day later choice offered already airport proceeded check ask caused cancellation apparently pilot sick nobody available standby could business class checkin desk assistant unsympathetic told us could check bags following day found someone else told us could check 24 hrs prior departure waited airport 2 hours checked went back home offered refund told claim extra expenses incurred train change fees connecting flight zimbabwe loss one night stay expensive safari lodge etc offered anything snooty unprofessional uncaring disorganised lack service avoid british airways find better cheaper options,United Kingdom,2023-08-27,trip verified
31,31,nice flight good crew good seat,nice flight good crew good seat food would expect aircraft new style business class seatssuite actual plane new since word parts seat broken missing however seat still sat well worked seat also long enough really lay get sleep video system worked great plenty content headphones however cheap didnt feel work particular good layout 773 lot business class seats lot sat forward cabin enter aircraft turn left cabin quieter part aircraft crew nice entire time needs wants might one draw back seats traveling couple middle divider didnt open enough really feel like mate traveling together lhr crowded expansive good lounge visit completely time flights,United States,2023-08-26,trip verified
32,32,horrible experience,8 months passed still wasting time ba team sharing documents flight delhi london got delayed december 2022 missed connecting flight london heathrow vancouver ba put us flight 24 hours reaching vancouver told baggage lost horrible experience customer relations person even look details already shared december january april july,Canada,2023-08-26,trip verified
33,33,never ba,june flight cancelled within three hours departure given rebooking next day lost suitcase arrived three days later today 25th august 2023 happened offer rebooking two days trying post claim website doesnt work never ba,Denmark,2023-08-25,trip verified
34,34,ravioli pasta dried,ground cabin crew always provide good customer service comes catering club class reduced economy flight ba621 ravioli pasta dried along edges slice camembert dried bother serving bread roll white olive bread dry wonder whether anyone ba monitors club class become economy get crying babies noisy children club class ’ glorified soulless bus trip without britishness,United Kingdom,2023-08-24,trip verified
35,35,great customer service,family flew washington london british airways a380 able secure seats upper deck pretty hefty fee flight unfortunately delayed 2 hrs 2245 0120 causing us miss connection gatwick turin making lounges open time got airport onboard sat window seat nice luggage bin convenient stuff flight entertainment system ’ work well touchscreen disabled controller quite glitchy hard use could use updating food dinner decent pasta tomato sauce tasted good airline standards seat pretty comfortable flight smooth missed connection ’ stuck behind security 2 hrs waiting escorts rebooked us flight heathrow milan next day gave us free bus tickets heathrow gave us free hotel room gave us dinner breakfast vouchers great customer service,United States,2023-08-19,trip verified
36,36,cabin crew fantastic,easy check t5 galleries south north lounges packed able get seat ’ stay long b gates lounge much quieter flight boarded smoothly time a380 upper deck old club world seating beginning age little however like large toilets aircraft type cabin crew fantastic one family tech issues seats entertainment systems crew worked hard though sadly without success food drink options good entertainment good overall enjoyable flight,United Kingdom,2023-08-13,trip verified
37,37,asked us check bags,flight delayed hour happens biggie us change gate airport never happened guess ok gate agent asked us check bags telling would prefer anyway second gate agent reassigned seats exit row regular huge squeeze 63 travel bud,United States,2023-08-12,unverified
38,38,service extremely poor,staff rude trained properly exceptions made children elderly people price ticket expensive given distance service extremely extremely poor,United Kingdom,2023-08-11,unverified
39,39,superior mainline british airways,good domestic flight operated ba cityflyer ground service checkin edinburgh airport particularly friendly helpful flight departed time arrived earlier scheduled complimentary drink snack albeit tiny served generally seems quality cityflyer subsidiary superior mainline british airways flights,United Kingdom,2023-08-08,trip verified
40,40,staff quite unpleasant,failed basic travel fundamentals 1 flight delayed 2 staff demanded check carry luggage even though met carry allowance fact tight bus connection totally ignored 3 staff quite unpleasant,Canada,2023-08-08,unverified
41,41,lost baggage,lost baggage simple situation three weeks dont care communication whatsoever connection checkpoint heathrow 3hrs connecting flight last leg trip agent insists checking hand luggage since plane full lose claim arrival airport immediately three weeks communication whatsoever online status still “ searching bag ” updates conclusion ba males effort find missing bag dont care,Poland,2023-08-08,trip verified
42,42,leaving two hours late,late boarding led one hour flight leaving two hours late single ba staff member turned board full flight shortly flight due depart previous announcement delay board captain blamed frankfurt ground staff delaying takeoff clearly late boarding resulted missed departure slot,United Kingdom,2023-08-05,trip verified
43,43,flight delayed,usual flight delayed ba try blame someone inability incapacity delivering sell dont hire enough personnel fulfil staff demand,United Kingdom,2023-08-04,trip verified
44,44,couldnt recommend ba,fantastic ba flight today cabin crew seat zone 6d best experienced although 777 old style rearfront seating comfortable felt open spacious ba done great things menu nice eat breakfast food prearrival meal hkg 1730pm local time left london 2200 night dinner offering equally ample delicious inflight entertainment great collection tv current films inflight map first rate previously huge ba fan 12 hour flight could recommend without reserve flew new ba suite j class recent delhi london flight enjoyed product although felt slightly cramped think ba stepped really comfortable bedding food friendly crew engaged throughout flight best way couldnt recommend ba flight today,Hong Kong,2023-08-01,trip verified
45,45,bumped due overselling,’ book online arrived check find bumped due overselling ba staff available helpful gatwick staff got us bus lhr flight toulouse knock effect car booking sharing rest family able yo board original flight airlines legally stopped selling seats twice,United Kingdom,2023-07-31,trip verified
46,46,comfortable flight,london heathrow mumbai boeing 7878 business class lounge near terminal 5 gate b36 heathrow outstanding service offerings provides us right frame relax boarding departure delayed almost 2 hours 7878 flight featured older club world seating best class comfortable enough hear new club suites configuration far superior british airways onboard service outstanding every respect comfortable flight one minor irritant reason aircraft fitted wifi got mumbai 8 civilized time arrive,Iceland,2023-07-31,trip verified
47,47,good onboard service,keflavík iceland london heathrow a320 business class journey got unpleasant note business class line keflavík long looked like economy class checkin took 30 mins get lounge access offered boarding process well handled british airways business class seats club europe product terrible exactly economy middle seat left vacant dont even get extra pitch made overall product tolerable good onboard service inflight wifi also fact flight leaves convenient midmorning time 1040,Iceland,2023-07-31,trip verified
48,48,really gone downhill,terrible experience british airways booked flight ba travel gibraltar london heathrow may 10 2023 flight scheduled leave 400 pm afternoon originally planned leaving luggage heathrow upon arrival travelling visit overnight cousins place en route gib airport hours prior departure checked flight details found flight cancelled connecting flight booked westjet london heathrow vancouver following day make flight imperative got london checked ba website couldnt find flights would work unfortunately made mistake requesting refund managed find flight malaga got london 1000 pm booked called british airways wanted discuss compensation thats advised requested refund used phrase abandoned travel prepared anything apparently called first would made arrangements course dont explain website ask want refund proceed even plead case agent malaga airport followed customer relations several times via email flat refused budge used travel voucher cover cost flight used avios cover cost checked baggage words pocket costs trip incident happened ended spending 660 euros airfare checked baggage charges get london malaga ie different airport one originally booked luggage storage facility heathrow closed time eventually arrived ended booking night hotel since couldnt travel train cousins place longer 3 bags tow didnt want put drive airport pick cost another £125 room meal costs ba ended compensate give 5000 free avios mere pittance compared pocket expenses despite trying explain requested refund instead calling first wouldnt budge easy say done since work know rules werent ones scrambling find alternative travel arrangements within hours pointed website simply instruct customers call situation happens way would never encounter problem feeling put refund option hope customers make mistake wash hands situation ultimately save money ive executive club member years simply didnt care said nothing could im sure one ba executives friends family members gone staff would given instruction make things right used fan ba really gone downhill opinion used remaining avios travel credit cancel executive club membership never fly,Canada,2023-07-29,trip verified
49,49,lives past glory,airline lives past glory heading future crisis british airways joking family 7 business class heading norwegian arctic cruise lost 10 bags never see flights ever disaster airline,Qatar,2023-07-26,trip verified
50,50,checkin desk rude dismissive,checkin desk rude dismissive flight late seems new norm one world emerald club world checkin staff uncommunicative know baggage allowance entitled raised politely became argumentative accusatory,United Kingdom,2023-07-26,trip verified
51,51,terrible,chose british airways especially going travel niece nephew wanted everything work well disaster first took two hours checkin online due technical problem also spend 20 minutes call uk number spanish cell phone ’ service provide weekends airport boarding time wait rest people almost two hours standing line without knowing going told us wait finally could access plane 40 minutes inside told us leave plane told us flight cancelled take luggage queue couple hours check wait another flight take delayed spent almost 12 hours airport information provided solutions offered seat last raw paid seat first half plane money refunded apologizes compensation given also prepurchased food ’ provide service terrible never,Spain,2023-07-25,trip verified
52,52,cancelled rebooked flight,booked premium economy inv lax via lhr notified cancelled flight return journey rebooked flight connecting flight arrived late cancelled flight journey lax cancelled rebooked flight return journey rebooking back first flight rebooked flight chance making return flight arrives late lhr rerouted lax jfk lhr would accepted booked journey economy lax jfk husband 64 knee injury wont change even though direct flight lax lhr premium economy unacceptable flight allows us 54 mins transfer flights jfk husband wont able walk slowly let alone quickly enduring 6hour flight lax lhr chatted calls disconnected also online chat proves accept rerouted flight jfk wont budge,United Kingdom,2023-07-24,unverified
53,53,zero empathy shown,simple story unfortunate outcome really could happen anyone partner recently started working studying purchased two tickets travel london city airport frankfurt purchased tickets mistakenly entered name twice eg mr john smith ms john smith little know 1 simple mistake would cost us 300 pounds upon arriving airport told way change name apparently change 3 letters typo option purchase last remaining ticket wanted board flight price almost seven times higher original ticket zero empathy shown zero alternative offered trusting bas staff pretence apparently way could board flight bought ticket immediately purchased ticket contacted bas commercial change booking team informed situation service representative apologised told could changed name cost small fee offered cancel original ticket issue partial refund advising claim difference contact customer support told person several times wanted claim cost new ticket even asked explicitly accepting offer would denied claiming cost new ticket said could claim difference fair enough accepted offer lodged ticket customer support difference two days later british airways customer response informed us unable lodge claim voluntarily accepted cancellation flight theyve continued send generic emails week stopped responding short british airways misled deceived partner accepting lowball offer waive right claim refund keeps night thinking get away easily,Germany,2023-07-21,trip verified
54,54,pilot apologise every step way,flight delayed due inbound flight arriving late announcement inform delay sceens updated ready board requested take seats quickly help reduce delay people pilot announced received documents wrong flight ground staff wait returned get right paperwork resolved pilot announced would delay two push back tractors wait rushing sit quickly sat aircraft gate nearly one hour longer flight takes course ams bas home base uses contracted staff require better level service embarrassing hearing pilot apologise every step way ’ eurostar next time,United Kingdom,2023-07-21,trip verified
55,55,crew always ready top drinks,fast friendly check total contrast gatwick contract lounge comfortable spacious bar pleasant staff pay alcohol one free glass wine food best avoided board great crew dinner actually good quality substantial apart chocolate orange pot seems appear every flight bought global stock crew always ready top drinks although white wine beers lukewarm crew explained carts supposed chilled experience rarely dry ice expensive ba cant afford,United Kingdom,2023-07-20,unverified
56,56,service really mediocre,dont understand british airways classified 4 star airline service really mediocre food untasty insufficient long haul trip members cabin crew friendly attentive enough create basic experience really getting point b without used enjoyable trip making experience inflight entertainment fairly good need bring water get dehydrated snacks ideally food perhaps smile otherwise faced cold personality less experience,United Kingdom,2023-07-20,trip verified
57,57,made economy experience miserable,im sure ba gradually made economy experience ba euroflyer gatwick miserable passengers tempted upgrade lacklustre overpriced business class long wait biz checkin due status dealt bored agent ok third party still representing ba hardly spoke avoided eye contact focussed fingernails lounge crowded grubby least staff pleasant helpful board seats cramped uncomfortable took two hours crew appeared food sales free water gatwick services consists half full plastic cup rather luxury small bottle fellow passenger mentioned delay fact sandwiches sale prompted flight attendant say service much better easyjet two service runs etc,United Kingdom,2023-07-20,unverified
58,58,customer service exist,customer service exist one world emerald frequent long haul flyer including ba never seen poor customer service “ computer says ” official bacom site said morning afternoon flight gatwick delayed 2 hours delayed leaving airport ba change back original time called ba customer service 15 hours prior highway saying situation told worry would note flight rebooked issue go airport got airport 40 mins prior told could board staff work ba could help back phone 3 hours total told could rebooked ’ round round ultimately told file complaint found flight left 2 hours delayed paid extra hotels flights competent airlines told 38 days wait complaints responded heavens help economy nonstatus flyers ’ front end plane gets,United Kingdom,2023-07-18,trip verified
59,59,another great experience,another really great pair flights time problems champagne ok meal choices great new club suite good improvement previous seat flight entertainment could better ’ wait fly ba enjoy another great experience,United Kingdom,2023-07-17,trip verified
60,60,recommended,a380 developed fault taxiing runway returned gate flight cancelled 3 hours later due technical fault ba staff virtually nonexistent finally captain announced flight cancelled ba provided alternative next day involving connection much take else arrangements help made overnight accommodation transport finally managed get legal minimum £520 compensation ba 26 hour delay caused journey expenses reimbursed even took four weeks fact business class customer ba pays minimum get away says couldnt care less customers interest loyalty arent bothered business given flights pay bas way id suggest anyone take hard earned cash another airline might least care less customers recommended,United Kingdom,2023-07-17,unverified
61,61,5 hours 30 mins meal,horrible airline care customers used decent since really fell flight time 5 hours 30 mins meal flight attendants eggs sausage back didnt even offer juices would stick another airline,United Kingdom,2023-07-16,unverified
62,62,things really deteriorated,family flown mostly british airways last 30 years priority passenger fly often enough recognise cabin crew know name used really good airline fly things really deteriorated face face customer care since pandemic aircraft look worn example flight back audiovisual equipment work reset twice finally working last hour landed second time around think reset done whole aircraft touch screen function screen work usb charger ports seat work staff pleasant enough service oozed mediocrity seem much pride food worst part ba flights since pandemic gave us menu asked ’ like check told us available run would like choose something else told us ’ get first choice second service ’ deliver finally choosing getting whatever food tasteless take part post flight surveys regularly stated avail family 3 fly british airways medium long haul regularly possibly 46 times year us good things flying ba priority customers usually direct flight destinations get good service ground checking lounges use,United Kingdom,2023-07-09,trip verified
63,63,never fly airline,far worst service plane obvious flying economy frequent traveler british airways care little wait hour even open checkin 5 lines one serviced economy even though line economy three times length premium classes told economy passengers bags check carryon due full flight room overhead compartments arrived gate enough seats fit everyone couldnt leave boarding area never fly airline,United States,2023-07-09,trip verified
64,64,asked explanation received none,nov 2022 booked paid return journey new zealand return journey final flight london edinburgh trying check told ticket ‘ exist ’ showed evidence flight booked paid denied ticket option buy ticket later flight cost £26507 since nov 22 ie 8 months ago communicated multiple times ba attempt money returned admitted responsibility error cost £265 finally received word decided refund sum £3214 asked explanation received none polite e mail informing decision checked correct intend let matter go company worth billions pounds return honest refund ps also lost luggage nothing help retrieve tracked week later edinburgh airport picked,United Kingdom,2023-07-08,trip verified
65,65,shortchanging passengers,ba treating premium economy passengers respect pay premium economy service compelled use economy toilets back plane shortchanging passengers,United Kingdom,2023-07-06,unverified
66,66,economy absolutely awful,24 hours departure ba059 cape town heathrow thursday 29th june online checkin seats already allocated wife 41 e f middle two seats central block four totally unsuitable us late 70s getting seats stretch legs go toilet would mean climbing person aisle seats available got heathrow 6 hours departure tried change seats checkin avail although lady sympathetic tried utmost offer us upgrade premium economy 450gbp beyond affordability said try departure gate also failed spoke member flight crew totally unsympathetic economy seats tiny jammed shoulder shoulder wife stranger knees touching seat pocket front 12 hours suffered manage get seat due kindness young lady next aisle mission trying clamber past reclined backrest front ba economy absolutely awful evening meal nearinedible choices spicy foods suitable flying especially older person breakfast spanish omelette however bad previous day flown economy malta heathrow malta airlines 3 hour trip pleasure seats wide ample legroom british airways,South Africa,2023-07-05,trip verified
67,67,shocking customer service,arrived heathrow 0600 find flight ibiza cancelled ba explanation ’ galling enough customer service ba airport nonexistent explanation apology assistance finding alternative flight ’ managed find another flight stansted ’ much later today thus wasting chunk short trip simply ’ understand ba ’ proactively contact customers notify cancellation work resolve problem shocking customer service,United Kingdom,2023-07-05,trip verified
68,68,representative help,original flight cancelled explanation representative help rebooking call customer service long distance call line kept dropping 40 calls find new booking discover way could fly next day paying business class help hotel night stay,Greece,2023-07-04,trip verified
